First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Young Sam,Jung,,"5' 8""",139 lbs.,--,Orthodox,4,8,0,,0.53,9%,2.79,63%,N/A,0.00,0%,0%,2.0
Da Woon,Jung,Sseda,"6' 4""",205 lbs.,"78.0""",Orthodox,15,5,1,,3.49,43%,3.89,51%,N/A,1.90,50%,77%,0.2
Phillipe,Nover,The Filipino Assassin,"5' 9""",145 lbs.,"72.0""",Orthodox,11,8,1,,1.79,35%,2.48,56%,N/A,0.99,28%,44%,0.7
Chan Sung,Jung,The Korean Zombie,"5' 7""",145 lbs.,"72.0""",Orthodox,17,8,0,,3.93,41%,4.52,52%,N/A,0.70,44%,72%,0.6
Bu-Kyung,Jung,,"5' 7""",154 lbs.,--,Orthodox,0,4,0,,0.63,36%,1.85,56%,N/A,1.10,75%,0%,1.5
Steve,Judson,,"5' 11""",230 lbs.,--,Orthodox,0,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Luke,Jumeau,The Jedi,"5' 11""",170 lbs.,"72.0""",Orthodox,13,5,0,,2.93,43%,3.17,58%,N/A,0.25,100%,86%,0.0
Carli,Judice,Crispy,"5' 7""",125 lbs.,"68.0""",Southpaw,3,2,0,,11.23,54%,10.10,52%,N/A,1.00,25%,70%,0.0
Ernie,Juarez,Young Titan,--,145 lbs.,--,,8,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Anshul,Jubli,King of Lions,"6' 0""",155 lbs.,"69.0""",Switch,7,1,0,,6.48,46%,5.61,51%,N/A,0.82,18%,63%,0.4
Kelly,Kobold,Blood Red,"5' 6""",135 lbs.,--,Orthodox,19,3,1,,2.33,21%,4.11,59%,N/A,1.67,11%,0%,0.0
Jesse,Juarez,,"6' 1""",170 lbs.,--,Orthodox,23,12,0,,1.71,48%,2.87,52%,N/A,2.69,33%,50%,0.0
Isao,Kobayashi,,"5' 8""",145 lbs.,--,,21,4,4,,1.01,33%,1.66,45%,N/A,2.17,100%,100%,0.0
Josefine,Knutsson,Thunder,"5' 3""",115 lbs.,"60.0""",Orthodox,8,0,0,,4.87,51%,2.07,57%,N/A,2.00,72%,57%,0.0
Erik,Koch,Phoenix,"5' 10""",170 lbs.,"71.0""",Southpaw,16,6,0,,2.33,42%,2.82,47%,N/A,1.02,42%,81%,1.0
Seokhyeon,Ko,Incredible,--,170 lbs.,--,,10,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Seok Hyeon,Ko,Incredible,--,170 lbs.,--,,10,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
William,Knight,Knightmare,"5' 10""",205 lbs.,"73.0""",Orthodox,11,5,0,,2.62,56%,3.30,35%,N/A,1.78,40%,48%,0.4
Kevin,Knabjian,,"5' 10""",170 lbs.,--,Orthodox,12,7,1,,0.00,0%,15.56,22%,N/A,0.00,0%,100%,0.0
Michael,Knaap,Hammer,"6' 2""",220 lbs.,--,Orthodox,18,22,3,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Katsuaki,Furuki,,"6' 0""",168 lbs.,--,,1,1,0,,0.27,10%,2.67,39%,N/A,0.00,0%,0%,3.0
Ricardo,Funch,Golden Boy,"5' 10""",170 lbs.,"74.0""",Southpaw,9,6,0,,2.61,65%,3.57,40%,N/A,1.24,18%,60%,0.0
Masakatsu,Funaki,,"6' 0""",185 lbs.,--,Southpaw,39,13,2,,1.82,68%,2.92,35%,N/A,0.00,0%,0%,5.5
Jason,Knight,The Kid,"5' 10""",145 lbs.,"71.0""",Orthodox,20,5,0,,2.95,33%,3.02,51%,N/A,1.31,31%,47%,1.7
Sam,Fulton,,--,--,--,,0,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Keisuke,Fujiwara,,"5' 6""",139 lbs.,--,Switch,17,12,5,,0.73,44%,1.20,47%,N/A,0.00,0%,23%,2.5
Riki,Fukuda,,"6' 0""",185 lbs.,"73.0""",Southpaw,24,9,0,,4.24,43%,3.71,64%,N/A,2.17,43%,70%,0.0
Masio,Fullen,Lobo,"5' 10""",145 lbs.,"70.0""",Orthodox,11,7,0,,2.46,32%,3.50,54%,N/A,0.47,33%,69%,0.0
Travis,Fulton,The Ironman,"6' 0""",240 lbs.,--,Orthodox,253,53,10,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Megumi,Fujii,Mega Megu,"5' 3""",113 lbs.,--,,26,3,0,,2.40,42%,0.00,100%,N/A,0.00,0%,0%,12.0
Kazuyuki,Fujita,Ironhead,"6' 0""",235 lbs.,--,Orthodox,15,12,0,,1.05,49%,1.99,52%,N/A,2.78,36%,85%,0.6
Daniel,Gracie,,"6' 2""",225 lbs.,--,Orthodox,5,4,1,,1.90,38%,1.33,59%,N/A,0.36,100%,80%,2.1
Royce,Gracie,,"6' 1""",175 lbs.,--,Southpaw,15,2,3,,0.88,41%,1.13,37%,N/A,0.00,0%,66%,0.8
Patryk,Grabowski,Czapla,--,205 lbs.,--,,5,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Justin,Governale,The Therapist,--,145 lbs.,--,,5,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Todd,Gouwenberg,,"6' 1""",205 lbs.,--,Orthodox,9,5,0,,0.52,23%,2.93,42%,N/A,1.57,33%,50%,0.0
Damian,Grabowski,The Polish Pitbull,"6' 1""",241 lbs.,"75.0""",Orthodox,20,5,0,,4.00,36%,7.65,51%,N/A,0.00,0%,0%,0.0
Crosley,Gracie,,"5' 9""",190 lbs.,--,Orthodox,2,2,0,,1.69,37%,1.54,60%,N/A,3.46,85%,50%,0.6
