Event,Date,Location,W/L,Fighter 1,Fighter 2,Kd,Str,Td,Sub,Weight class,Method,Round,Time
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",,Chase Hooper,Viacheslav Borshchev,1,62,1,2,Lightweight,SUB,2,3:00
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",,Esteban Ribovics,Terrance McKinney,1,5,0,0,Lightweight,KO/TKO,1,0:37
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",,Tabatha Ricci,Tecia Pennington,0,54,1,0,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",,Trey Waters,Billy Ray Goff,0,96,0,1,Welterweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",,Charles Johnson,Jake Hadley,1,70,0,0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024","St. Louis, Missouri, USA",,Veronica Hardy,JJ Aldrich,0,36,0,0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Virna Jandiroba,Loopy Godinez,0,30,2,3,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Julio Arce,Herbert Burns,2,29,0,0,Featherweight,KO/TKO,2,2:00
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Dennis Buzukja,Connor Matthews,1,83,0,0,Featherweight,KO/TKO,3,0:22
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Ibo Aslan,Anton Turkalj,1,74,0,0,Light Heavyweight,KO/TKO,3,1:32
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Jacob Malkoun,Andre Petroski,0,20,0,0,Middleweight,KO/TKO,2,0:39
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Caolan Loughran,Angel Pacheco,0,140,3,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",,Robert Whittaker,Ikram Aliskerov,1,14,0,0,Middleweight,KO/TKO,1,1:49
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",,Alexander Volkov,Sergei Pavlovich,0,83,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",,Kelvin Gastelum,Daniel Rodriguez,0,112,4,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",,Shara Magomedov,Antonio Trocoli,1,82,0,0,Middleweight,KO/TKO,3,2:27
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",,Volkan Oezdemir,Johnny Walker,2,37,0,0,Light Heavyweight,KO/TKO,1,2:28
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024","Riyadh, Riyadh, Saudi Arabia",,Nasrat Haqparast,Jared Gordon,0,146,0,0,Lightweight,S-DEC,3,5:00
