Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023","Las Vegas, Nevada, USA",win,,Davey Grant,Raphael Assuncao,1,0,65,42,5 of 12,0 of 0,1,0,Bantamweight,SUB,3,4:43
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023","Las Vegas, Nevada, USA",win,,Alexander Volkov,Alexandr Romanov,0,0,12,0,0 of 0,0 of 5,0,0,Heavyweight,KO/TKO,1,2:16
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023","Las Vegas, Nevada, USA",win,,Nikita Krylov,Ryan Spann,0,0,7,5,2 of 2,1 of 2,2,1,Catch Weight,SUB,1,3:38
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023","Las Vegas, Nevada, USA",win,,Vitor Petrino,Anton Turkalj,0,0,39,33,7 of 9,5 of 15,1,0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023","Las Vegas, Nevada, USA",win,,Merab Dvalishvili,Petr Yan,0,0,147,75,1 of 5,11 of 49,0,0,Bantamweight,U-DEC,5,5:00
UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA",win,,Tabatha Ricci,Jessica Penne,0,0,36,6,0 of 1,4 of 5,1,0,Women's Strawweight,SUB,2,2:14
UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA",win,,Farid Basharat,Da'Mon Blackshear,0,0,58,46,1 of 6,3 of 6,0,1,Bantamweight,U-DEC,3,5:00
UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA",win,,Cameron Saaiman,Mana Martinez,1,0,117,60,0 of 0,1 of 1,0,0,Bantamweight,M-DEC,3,5:00
UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA",win,,Dricus Du Plessis,Derek Brunson,1,0,71,37,1 of 2,1 of 2,1,1,Middleweight,KO/TKO,2,4:59
UFC 285: Jones vs. Gane,"March 04, 2023","Las Vegas, Nevada, USA",win,,Amanda Ribas,Viviane Araujo,0,0,98,46,0 of 0,2 of 2,0,2,Women's Flyweight,U-DEC,3,5:00
