First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Tristan,Arenal,,--,155 lbs.,--,,7,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,,1.53,46%,2.73,51%,N/A,0.00,0%,50%,1.0
Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34,24,0,,3.82,45%,3.22,57%,N/A,0.37,35%,76%,0.2
Gabriel,Arges,,--,170 lbs.,--,,0,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Julio,Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,19,6,0,,4.36,36%,3.05,68%,N/A,0.46,28%,96%,0.3
Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,12,6,0,,4.11,47%,4.96,56%,N/A,1.76,40%,78%,0.6
Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,,1.80,35%,2.83,50%,N/A,2.50,62%,83%,0.0
Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,,1.52,42%,2.86,49%,N/A,0.86,15%,22%,0.6
Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,,2.37,45%,2.66,64%,N/A,0.93,47%,41%,0.7
Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,,1.35,40%,11.50,32%,N/A,0.00,0%,33%,0.0
Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,,0.00,0%,0.54,81%,N/A,0.00,0%,0%,8.1
Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,,8.79,27%,10.29,39%,N/A,0.00,0%,0%,0.0
,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,25,10,0,,5.31,50%,6.03,47%,N/A,1.45,46%,58%,0.0
Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,,3.23,58%,3.75,45%,N/A,1.83,16%,75%,0.0
Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0,,1.09,50%,7.64,50%,N/A,0.00,0%,0%,0.0
Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,,2.47,42%,2.47,69%,N/A,0.65,100%,0%,0.0
Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,,2.08,55%,4.21,40%,N/A,5.08,36%,0%,1.4
Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,,5.73,52%,5.00,69%,N/A,0.00,0%,100%,0.0
