Event,Date,Location,W/L,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Lerone Murphy,Edson Barboza,0,0,220,79,4,0,0,0,Featherweight,U-DEC,5,5:00
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Khaos Williams,Carlston Harris,1,0,12,14,0,0,0,0,Welterweight,KO/TKO,1,1:30
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Themba Gorimbo,Ramiz Brahimaj,0,0,43,3,5,1,0,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Adrian Yanez,Vinicius Salvador,1,0,36,17,0,0,0,0,Bantamweight,KO/TKO,1,2:47
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Angela Hill,Luana Pinheiro,0,0,28,17,2,1,1,0,Women's Strawweight,SUB,2,4:12
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Tom Nolan,Victor Martinez,0,1,33,18,0,0,0,0,Lightweight,KO/TKO,1,3:50
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Oumar Sy,Tuco Tokkos,0,0,0,3,2,0,1,0,Light Heavyweight,SUB,1,3:43
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Melissa Gatto,Tamires Vidal,0,0,30,15,2,0,1,1,Women's Bantamweight,KO/TKO,3,0:37
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Abus Magomedov,Warlley Alves,0,0,22,16,6,0,0,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Ariane Carnelossi,Piera Rodriguez,0,1,16,40,0,1,0,0,Women's Strawweight,DQ,2,3:16
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Alatengheili,Kleydson Rodrigues,0,0,18,37,3,0,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Vanessa Demopoulos,Emily Ducote,0,0,109,143,0,0,0,0,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA",,Rose Namajunas,Tracy Cortez,1,0,96,58,5,2,0,0,Women's Flyweight,U-DEC,5,5:00
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA",,Muslim Salikhov,Santiago Ponzinibbio,0,0,46,41,0,2,0,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA",,Jean Silva,Drew Dober,0,0,53,59,0,0,0,0,Lightweight,KO/TKO,3,1:28
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA",,Gabriel Bonfim,Ange Loosa,0,0,101,52,1,4,0,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA",,Julian Erosa,Christian Rodriguez,0,0,35,33,1,0,1,0,Featherweight,SUB,1,4:49
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA",,Abdul Razak Alhassan,Cody Brundage,0,0,23,1,0,0,0,0,Middleweight,CNC,1,0:37
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA",,Charles Johnson,Joshua Van,1,0,88,67,0,1,0,0,Flyweight,KO/TKO,3,0:20
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA",,Jasmine Jasudavicius,Fatima Kline,0,0,40,39,4,1,1,0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA",,Montel Jackson,Da'Mon Blackshear,1,0,4,1,0,0,0,0,Bantamweight,KO/TKO,1,0:18
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA",,Luana Santos,Mariya Agapova,0,0,2,3,1,0,3,0,Women's Flyweight,SUB,1,3:27
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA",,Andre Petroski,Josh Fremd,0,0,12,16,3,0,1,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024","Denver, Colorado, USA",,Evan Elder,Darrius Flowers,0,0,45,24,0,1,1,0,Welterweight,SUB,2,1:46
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Nassourdine Imavov,Jared Cannonier,0,0,82,64,2,1,0,0,Middleweight,KO/TKO,4,1:34
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Dominick Reyes,Dustin Jacoby,2,0,20,6,0,0,0,0,Light Heavyweight,KO/TKO,1,2:00
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Raul Rosas Jr.,Ricky Turcios,0,0,3,7,4,0,1,1,Bantamweight,SUB,2,2:22
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Brunno Ferreira,Dustin Stoltzfus,1,0,24,18,0,1,0,2,Middleweight,KO/TKO,1,4:51
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Zach Reese,Julian Marquez,1,0,6,1,0,0,0,0,Middleweight,KO/TKO,1,0:20
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Punahele Soriano,Miguel Baeza,0,0,144,7,5,0,0,3,Welterweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Ludovit Klein,Thiago Moises,2,0,56,24,1,0,0,1,Lightweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Carlos Prates,Charles Radtke,1,0,15,14,0,0,0,0,Welterweight,KO/TKO,1,4:47
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Brad Katona,Jesse Butler,0,0,68,30,3,0,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Montana De La Rosa,Andrea Lee,0,0,70,75,3,0,1,0,Women's Flyweight,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Daniel Marcos,John Castaneda,1,0,98,60,0,1,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Denise Gomes,Eduarda Moura,0,0,50,18,0,5,1,0,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Taylor Lapilus,Cody Stamann,0,0,100,59,0,1,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024","Louisville, Kentucky, USA",,Puja Tomar,Rayanne dos Santos,0,0,95,84,0,0,0,0,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015","Dublin, Leinster, Ireland",,Louis Smolka,Paddy Holohan,0,0,59,16,0,4,2,0,Flyweight,SUB,2,4:09
UFC Fight Night: Holohan vs Smolka,"October 24, 2015","Dublin, Leinster, Ireland",,Norman Parke,Reza Madadi,0,0,47,33,1,1,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015","Dublin, Leinster, Ireland",,Nicolas Dalby,Darren Till,0,1,84,49,2,0,0,0,Welterweight,M-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015","Dublin, Leinster, Ireland",,Neil Seery,Jon Delos Reyes,0,0,38,25,2,3,2,0,Flyweight,SUB,2,4:12
UFC Fight Night: Holohan vs Smolka,"October 24, 2015","Dublin, Leinster, Ireland",,Stevie Ray,Mickael Lebout,0,0,48,27,1,0,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015","Dublin, Leinster, Ireland",,Aisling Daly,Ericka Almeida,0,0,59,19,2,1,0,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015","Dublin, Leinster, Ireland",,Krzysztof Jotko,Scott Askham,0,0,38,22,2,0,0,1,Middleweight,S-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015","Dublin, Leinster, Ireland",,Tom Breese,Cathal Pendred,1,0,23,5,0,0,0,0,Welterweight,KO/TKO,1,4:37
UFC Fight Night: Holohan vs Smolka,"October 24, 2015","Dublin, Leinster, Ireland",,Darren Elkins,Robert Whiteford,0,0,40,23,7,1,2,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Holohan vs Smolka,"October 24, 2015","Dublin, Leinster, Ireland",,Garreth McLellan,Bubba Bush,0,0,97,8,2,3,1,0,Middleweight,KO/TKO,3,4:58
UFC 49: Unfinished Business,"August 21, 2004","Las Vegas, Nevada, USA",,Randy Couture,Vitor Belfort,0,0,50,3,2,0,0,2,Light Heavyweight,KO/TKO,3,5:00
UFC 49: Unfinished Business,"August 21, 2004","Las Vegas, Nevada, USA",,Joe Riggs,Joe Doerksen,0,0,29,6,2,2,0,0,Middleweight,KO/TKO,2,3:39
