First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt
Joaquim,Silva,Netto BJJ,"5' 8""",155 lbs.,"69.0""",Southpaw,13,6,0,
Felipe,Silva,,"6' 0""",155 lbs.,"77.0""",Orthodox,8,2,0,
Dayana,Silva,,"5' 7""",135 lbs.,--,Orthodox,7,4,0,
Bruno,Silva,Bulldog,"5' 4""",125 lbs.,"65.0""",Orthodox,13,5,2,
Bruno,Silva,Blindado,"6' 0""",185 lbs.,"74.0""",Orthodox,23,11,0,
Gabriel,Silva,,"5' 6""",135 lbs.,"71.0""",Orthodox,8,2,0,
Jacob,Silva,Lil Animal,"5' 5""",125 lbs.,"67.0""",Orthodox,6,4,0,
Natalia,Silva,,"5' 4""",125 lbs.,"65.0""",Southpaw,17,5,1,
Jansey,Silva,Jones,"6' 2""",185 lbs.,"67.0""",Orthodox,7,2,0,
Maria,Silva,Viuva Negra,"5' 3""",115 lbs.,"64.0""",Orthodox,8,1,0,
Karine,Silva,Killer,"5' 5""",125 lbs.,"67.0""",Orthodox,18,4,0,
Erik,Silva,The King,"5' 9""",145 lbs.,"71.0""",Orthodox,9,3,0,
Janaina,Silva,Jana-Iron-Hand,"5' 1""",115 lbs.,"60.0""",Orthodox,5,1,0,
Jhonata,Silva,,"5' 5""",125 lbs.,"66.0""",Orthodox,8,2,0,
Jean,Silva,Lord,"5' 7""",145 lbs.,"69.0""",Orthodox,14,2,0,
Danny,Silva,El Puma,"5' 11""",145 lbs.,"70.0""",Switch,9,1,0,
Douglas,Silva de Andrade,D Silva,"5' 7""",135 lbs.,"68.0""",Orthodox,29,6,0,
Leonardo,Silva de Oliveira,Cabecao,"6' 2""",185 lbs.,--,Orthodox,12,4,0,
Marcus,Silveira,Conan,"6' 3""",242 lbs.,--,Orthodox,6,4,0,
Elias,Silverio,Xuxu,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0,
Sim,Kai Xiong,Kobra,"5' 5""",125 lbs.,"66.0""",Orthodox,5,1,0,
Jamey,Simmons,The Afro Samurai,"5' 6""",135 lbs.,"70.0""",Orthodox,7,4,0,
Ricky,Simon,,"5' 6""",135 lbs.,"69.0""",Orthodox,20,6,0,
Aaron,Simpson,A-Train,"6' 0""",170 lbs.,"73.0""",Orthodox,12,5,0,
Wes,Sims,The Project,"6' 10""",260 lbs.,--,Orthodox,24,14,1,
Marlon,Sims,,--,170 lbs.,--,,3,4,0,
Tony,Sims,,"5' 11""",155 lbs.,"70.0""",Southpaw,12,4,0,
Everett,Sims,Sexual Chocolate,"6' 5""",260 lbs.,"77.0""",Southpaw,4,1,0,
Lodune,Sincaid,,"5' 9""",185 lbs.,--,Orthodox,15,9,0,
Rob,Sinclair,,"5' 8""",155 lbs.,--,,13,5,0,
Rory,Singer,Outburst,"6' 2""",185 lbs.,"77.0""",Orthodox,11,9,0,
Rana Rudra Pratap,Singh,Ashwathama,"5' 10""",135 lbs.,"69.0""",Orthodox,11,2,0,
Kiran,Singh,Stubborn,"5' 1""",115 lbs.,"65.0""",Orthodox,7,4,0,
Kiru,Singh Sahota,,"5' 10""",125 lbs.,"73.0""",Orthodox,11,2,0,
Elvis,Sinosic,The King of Rock n' Rumble,"6' 3""",205 lbs.,"77.0""",Orthodox,7,11,2,
Mitchell,Sipe,No Dice,"6' 2""",245 lbs.,--,Orthodox,4,1,0,
Gian,Siqueira,Pitbull,"6' 1""",170 lbs.,"74.0""",Orthodox,19,5,0,
Jeremia,Siregar,The Teacher,"5' 2""",125 lbs.,"63.0""",Orthodox,6,3,0,
AJ,Siscoe,Let's Go,"5' 7""",135 lbs.,--,,1,2,0,
Yokthai,Sithoar,,"5' 7""",143 lbs.,--,,0,1,0,
Jeri,Sitzes,,"5' 5""",125 lbs.,--,,3,1,0,
Dennis,Siver,,"5' 6""",145 lbs.,"70.0""",Orthodox,23,11,0,
Chas,Skelly,The Scrapper,"5' 11""",145 lbs.,"72.0""",Orthodox,19,3,0,
Matt,Skelton,,"6' 3""",265 lbs.,--,Orthodox,0,1,0,
Zach,Skinner,,"5' 6""",145 lbs.,--,Orthodox,10,11,0,
Brian,Sleeman,,"5' 8""",185 lbs.,--,,9,9,1,
Joe,Slick,,"6' 0""",199 lbs.,--,Orthodox,16,5,3,
Ray,Sloan,,"6' 1""",205 lbs.,--,,8,1,0,
Kestutis,Smirnovas,,"5' 10""",200 lbs.,--,Orthodox,24,8,2,
Maurice,Smith,,"6' 2""",221 lbs.,--,Orthodox,12,14,0,
Patrick,Smith,,"6' 2""",225 lbs.,--,Orthodox,20,17,0,
Scott,Smith,Hands of Steel,"6' 0""",185 lbs.,"70.0""",Orthodox,18,11,0,
Eric,Smith,,--,--,--,Southpaw,1,1,0,
Josh,Smith,,"6' 0""",155 lbs.,--,Orthodox,9,8,0,
David,Smith,,--,155 lbs.,--,,5,1,0,
Adam,Smith,,--,--,--,,0,3,0,
Dillon,Smith,,"6' 0""",170 lbs.,--,,0,0,0,
Trevor,Smith,Hot Sauce,"6' 3""",185 lbs.,"75.0""",Orthodox,15,10,0,
Anthony,Smith,Lionheart,"6' 4""",205 lbs.,"76.0""",Orthodox,38,20,0,
Colton,Smith,,"6' 0""",155 lbs.,"71.0""",Orthodox,7,4,0,
Gilbert,Smith,,"5' 9""",185 lbs.,--,Southpaw,12,6,0,
Leslie,Smith,The Peacemaker,"5' 9""",135 lbs.,"66.0""",Orthodox,10,7,1,
Devonte,Smith,King Kage,"5' 9""",155 lbs.,"76.0""",Orthodox,11,4,0,
Cole,Smith,The Cole Train,"5' 11""",135 lbs.,"67.0""",Orthodox,7,2,0,
Nate,Smith,The Savage,"5' 6""",125 lbs.,"69.0""",Switch,6,1,0,
Braxton,Smith,The Beautiful Monster,"5' 11""",257 lbs.,"72.0""",Orthodox,5,2,0,
Walter,Smith-Cotito,,"5' 8""",135 lbs.,--,,4,5,0,
Justin,Smitley,,--,145 lbs.,--,,10,7,1,
Dmitrii,Smoliakov,The Lifeguard,"6' 2""",253 lbs.,"74.0""",Switch,9,3,0,
Louis,Smolka,Da Last Samurai,"5' 9""",135 lbs.,"68.0""",Orthodox,17,9,0,
Cameron,Smotherman,The Baby-Faced Killa,"5' 9""",135 lbs.,"69.0""",Orthodox,8,4,0,
Shimon,Smotritsky,The Assassin,"6' 2""",170 lbs.,"74.0""",Orthodox,8,2,0,
Richie,Smullen,,"5' 9""",155 lbs.,"68.0""",Orthodox,3,1,1,
Devin,Smyth,,"5' 10""",170 lbs.,"72.0""",Switch,4,2,0,
Denis,Sobolev,,"6' 3""",216 lbs.,--,Orthodox,4,7,0,
Peter,Sobotta,,"6' 0""",170 lbs.,"75.0""",Southpaw,17,7,1,
Renato,Sobral,Babalu,"6' 1""",205 lbs.,"75.0""",Orthodox,37,11,0,
Rameau Thierry,Sokoudjou,The African Assassin,"5' 10""",205 lbs.,"78.0""",Orthodox,18,18,0,
Alexander,Soldatkin,,"6' 2""",250 lbs.,"75.0""",Orthodox,14,4,0,
Joe,Solecki,,"5' 9""",155 lbs.,"70.0""",Orthodox,13,5,0,
Chris,Solomon,,"5' 11""",155 lbs.,--,,0,0,0,
Joe,Son,,"5' 4""",236 lbs.,--,Orthodox,0,4,0,
Paul,Song,,--,185 lbs.,--,,2,2,0,
Song,Kenan,The Assassin,"6' 0""",170 lbs.,"71.0""",Orthodox,20,8,0,
Song,Yadong,Kung Fu Kid,"5' 8""",135 lbs.,"67.0""",Orthodox,21,8,1,
YoungJae,Song,Super Rookie,"5' 7""",145 lbs.,"70.0""",Orthodox,6,1,1,
Emrah,Sonmez,Anatolian Wolf,"5' 10""",145 lbs.,"71.0""",Orthodox,14,5,0,
Chael,Sonnen,,"6' 1""",205 lbs.,"73.0""",Southpaw,29,15,1,
Cody,Sons,,"5' 9""",205 lbs.,--,,3,7,0,
Jin,Soo Son,,"5' 6""",135 lbs.,"69.0""",Orthodox,9,4,0,
