,Event,Date,Fighter 1,Fighter 2,Fighter 1 Odds,Fighter 2 Odds
5339,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Khamzat Chimaev,Rhys McKee,-600.0,450.0
5341,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Mauricio Rua,Antonio Rogerio Nogueira,-300.0,250.0
5342,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Mike Grundy,Movsar Evloev,230.0,-270.0
5345,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Niklas Stolze,Ramazan Emeev,175.0,-245.0
5350,UFC on ESPN 14: Whittaker vs. Till,Jul 2020,Raphael Pessoa,Tanner Boser,160.0,-210.0
5355,UFC on FOX 12: Lawler vs. Brown,Jul 2014,Andreas Stahl,Gilbert Burns,-110.0,-130.0
5356,UFC on FOX 12: Lawler vs. Brown,Jul 2014,Anthony Johnson,Antonio Rogerio Nogueira,-475.0,325.0
5357,UFC on FOX 12: Lawler vs. Brown,Jul 2014,Brian Ortega,Mike de La Torre,-140.0,100.0
5358,UFC on FOX 12: Lawler vs. Brown,Jul 2014,Clay Guida,Dennis Bermudez,145.0,-185.0
5359,UFC on FOX 12: Lawler vs. Brown,Jul 2014,Daron Cruickshank,Jorge Masvidal,220.0,-300.0
5362,UFC on FOX 12: Lawler vs. Brown,Jul 2014,Hernani Perpetuo,Tim Means,225.0,-305.0
5363,UFC on FOX 12: Lawler vs. Brown,Jul 2014,Joanna Jedrzejczyk,Juliana Carneiro Lima,-280.0,200.0
5365,UFC on FOX 12: Lawler vs. Brown,Jul 2014,Josh Thomson,Bobby Green,-260.0,180.0
5366,UFC on FOX 12: Lawler vs. Brown,Jul 2014,Kyle Kingsbury,Patrick Cummins,150.0,-190.0
5367,UFC on FOX 12: Lawler vs. Brown,Jul 2014,Matt Brown,Robbie Lawler,180.0,-260.0
5368,UFC on FOX 12: Lawler vs. Brown,Jul 2014,Noad Lahat,Steven Siler,210.0,-290.0
5373,UFC on FOX 8: Johnson vs. Moraga,Jul 2013,Aaron Riley,Justin Salas,150.0,-190.0
5374,UFC on FOX 8: Johnson vs. Moraga,Jul 2013,Bobby Voelker,Robbie Lawler,250.0,-350.0
5375,UFC on FOX 8: Johnson vs. Moraga,Jul 2013,Danny Castillo,Tim Means,-165.0,125.0
5376,UFC on FOX 8: Johnson vs. Moraga,Jul 2013,Daron Cruickshank,Yves Edwards,-165.0,125.0
5377,UFC on FOX 8: Johnson vs. Moraga,Jul 2013,Demetrious Johnson,John Moraga,-380.0,260.0
5378,UFC on FOX 8: Johnson vs. Moraga,Jul 2013,Ed Herman,Trevor Smith,-350.0,250.0
5379,UFC on FOX 8: Johnson vs. Moraga,Jul 2013,Germaine de Randamie,Julie Kedzie,115.0,-155.0
5380,UFC on FOX 8: Johnson vs. Moraga,Jul 2013,Jake Ellenberger,Rory Macdonald,130.0,-170.0
5381,UFC on FOX 8: Johnson vs. Moraga,Jul 2013,Jessica Andrade,Liz Carmouche,435.0,-705.0
5382,UFC on FOX 8: Johnson vs. Moraga,Jul 2013,John Albert,Yaotzin Meza,-175.0,135.0
5384,UFC on FOX 8: Johnson vs. Moraga,Jul 2013,Jorge Masvidal,Michael Chiesa,-210.0,160.0
5388,UFC on FOX 8: Johnson vs. Moraga,Jul 2013,Melvin Guillard,Mac Danzig,-140.0,100.0
5395,UFC 240: Holloway vs. Edgar,Jul 2019,Alexandre Pantoja,Deiveson Figueiredo,-135.0,-105.0
5396,UFC 240: Holloway vs. Edgar,Jul 2019,Alexis Davis,Viviane Araujo,175.0,-245.0
5397,UFC 240: Holloway vs. Edgar,Jul 2019,Arman Tsarukyan,Olivier Aubin-Mercier,-305.0,225.0
5398,UFC 240: Holloway vs. Edgar,Jul 2019,Cristiane Justino,Felicia Spencer,-425.0,305.0
5399,UFC 240: Holloway vs. Edgar,Jul 2019,Erik Koch,Kyle Stewart,115.0,-155.0
5401,UFC 240: Holloway vs. Edgar,Jul 2019,Frankie Edgar,Max Holloway,250.0,-350.0
5402,UFC 240: Holloway vs. Edgar,Jul 2019,Gavin Tucker,Seung Woo Choi,-215.0,165.0
5403,UFC 240: Holloway vs. Edgar,Jul 2019,Geoff Neal,Niko Price,-185.0,145.0
5404,UFC 240: Holloway vs. Edgar,Jul 2019,Gillian Robertson,Sarah Frota,-145.0,105.0
5405,UFC 240: Holloway vs. Edgar,Jul 2019,Krzysztof Jotko,Marc-Andre Barriault,-230.0,170.0
5411,UFC 240: Holloway vs. Edgar,Jul 2019,Yoshinori Horie,Hakeem Dawodu,250.0,-350.0
5412,UFC,Jul 2024,Alice Ardelean,Shauna Bannon,180.0,-230.0
5413,UFC,Jul 2024,Caolan Loughran,Ramon Taveras,-225.0,185.0
5414,UFC,Jul 2024,Kiefer Crosbie,Sam Patterson,200.0,-275.0
5415,UFC,Jul 2024,Lukasz Brzeski,Mick Parkin,150.0,-200.0
5416,UFC,Jul 2024,Marcin Prachnio,Modestas Bukauskas,110.0,-150.0
5419,UFC,Jul 2024,Oban Elliott,Preston Parsons,-110.0,-120.0
5423,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 2018,Alex Morono,Jordan Mein,-110.0,-130.0
5424,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 2018,Alexis Davis,Katlyn Chookagian,115.0,-155.0
5425,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 2018,Austin Arnett,Hakeem Dawodu,280.0,-400.0
5426,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 2018,Devin Powell,Alvaro Herrera,-170.0,130.0
