,Event,Date,Fighter 1,Fighter 2,Fighter 1 Odds,Fighter 2 Odds
39,UFC on ABC 2: Vettori vs. Holland,Apr 2021,Daniel Rodriguez,Mike Perry,-110.0,-110.0
40,UFC on ABC 2: Vettori vs. Holland,Apr 2021,Hunter Azure,Jack Shore,130.0,-150.0
41,UFC on ABC 2: Vettori vs. Holland,Apr 2021,Ignacio Bahamondes,John Makdessi,-120.0,100.0
43,UFC on ABC 2: Vettori vs. Holland,Apr 2021,Jim Miller,Joe Solecki,115.0,-135.0
45,UFC on ABC 2: Vettori vs. Holland,Apr 2021,Jordan Griffin,Luis Saldana,115.0,-135.0
46,UFC on ABC 2: Vettori vs. Holland,Apr 2021,Julian Marquez,Sam Alvey,-125.0,105.0
47,UFC on ABC 2: Vettori vs. Holland,Apr 2021,Kevin Holland,Marvin Vettori,188.0,-230.0
49,UFC on ABC 2: Vettori vs. Holland,Apr 2021,Mackenzie Dern,Nina Nunes,130.0,-150.0
54,UFC on ABC 2: Vettori vs. Holland,Apr 2021,Scott Holtzman,Mateusz Gamrot,165.0,-190.0
56,UFC on ABC 2: Vettori vs. Holland,Apr 2021,William Knight,Da Un Jung,-110.0,-130.0
57,UFC Fight Night 39: Minotauro vs. Nelson,Apr 2014,Antonio Rodrigo Nogueira,Roy Nelson,150.0,-190.0
58,UFC Fight Night 39: Minotauro vs. Nelson,Apr 2014,Beneil Dariush,Ramsey Nijem,-210.0,160.0
59,UFC Fight Night 39: Minotauro vs. Nelson,Apr 2014,Clay Guida,Tatsuya Kawajiri,115.0,-155.0
60,UFC Fight Night 39: Minotauro vs. Nelson,Apr 2014,Daniel Omielanczuk,Jared Rosholt,160.0,-210.0
61,UFC Fight Night 39: Minotauro vs. Nelson,Apr 2014,Jim Alers,Alan Omer,-270.0,190.0
62,UFC Fight Night 39: Minotauro vs. Nelson,Apr 2014,John Howard,Ryan Laflare,170.0,-230.0
63,UFC Fight Night 39: Minotauro vs. Nelson,Apr 2014,Johnny Bedford,Rani Yahya,130.0,-170.0
68,UFC Fight Night 39: Minotauro vs. Nelson,Apr 2014,Thales Leites,Trevor Smith,-385.0,265.0
69,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 2015,Anthony Hamilton,Daniel Omielanczuk,100.0,-140.0
70,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 2015,Bartosz Fabinski,Garreth McLellan,-155.0,115.0
72,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 2015,Gabriel Gonzaga,Mirko Filipovic,-155.0,115.0
73,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 2015,Jan Blachowicz,Jimi Manuwa,-115.0,-125.0
74,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 2015,Leon Edwards,Seth Baczynski,-130.0,-110.0
75,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 2015,Marcin Bandel,Stevie Ray,150.0,-190.0
76,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 2015,Maryna Moroz,Joanne Calderwood,375.0,-565.0
77,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 2015,Pawel Pawlak,Sheldon Westcott,120.0,-160.0
78,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 2015,Sergio Moraes,Mickael Lebout,-350.0,250.0
82,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 2015,Yaotzin Meza,Damian Stasiak,100.0,-140.0
83,UFC: The Ultimate Fighter 17 Finale,Apr 2013,Bart Palaszewski,Cole Miller,-190.0,150.0
84,UFC: The Ultimate Fighter 17 Finale,Apr 2013,Bristol Marunde,Clint Hester,-105.0,-135.0
85,UFC: The Ultimate Fighter 17 Finale,Apr 2013,Cat Zingano,Miesha Tate,135.0,-175.0
87,UFC: The Ultimate Fighter 17 Finale,Apr 2013,Daniel Pineda,Justin Lawrence,-115.0,-125.0
88,UFC: The Ultimate Fighter 17 Finale,Apr 2013,Dylan Andrews,Jimmy Quinlan,-160.0,120.0
89,UFC: The Ultimate Fighter 17 Finale,Apr 2013,Gabriel Gonzaga,Travis Browne,160.0,-210.0
90,UFC: The Ultimate Fighter 17 Finale,Apr 2013,Josh Samman,Kevin Casey,-300.0,220.0
92,UFC: The Ultimate Fighter 17 Finale,Apr 2013,Kelvin Gastelum,Urijah Hall,220.0,-300.0
94,UFC: The Ultimate Fighter 17 Finale,Apr 2013,Luke Barnatt,Collin Hart,-110.0,-130.0
95,UFC: The Ultimate Fighter 17 Finale,Apr 2013,Maximo Blanco,Sam Sicilia,-265.0,185.0
97,UFC: The Ultimate Fighter 17 Finale,Apr 2013,Robert McDaniel,Gilbert Smith,-215.0,165.0
99,UFC: The Ultimate Fighter 17 Finale,Apr 2013,Scott Jorgensen,Urijah Faber,300.0,-420.0
102,UFC 236: Holloway vs. Poirier 2,Apr 2019,Alan Jouban,Dwight Grant,-155.0,115.0
103,UFC 236: Holloway vs. Poirier 2,Apr 2019,Alexandre Pantoja,Wilson Reis,-245.0,175.0
104,UFC 236: Holloway vs. Poirier 2,Apr 2019,Andre Soukhamthath,Montel Jackson,-350.0,250.0
105,UFC 236: Holloway vs. Poirier 2,Apr 2019,Belal Muhammad,Curtis Millender,135.0,-175.0
106,UFC 236: Holloway vs. Poirier 2,Apr 2019,Boston Salmon,Khalid Taha,-150.0,110.0
107,UFC 236: Holloway vs. Poirier 2,Apr 2019,Brandon Davis,Randy Costa,-105.0,-135.0
109,UFC 236: Holloway vs. Poirier 2,Apr 2019,Dustin Poirier,Max Holloway,170.0,-230.0
111,UFC 236: Holloway vs. Poirier 2,Apr 2019,Eryk Anders,Khalil Rountree,-165.0,125.0
112,UFC 236: Holloway vs. Poirier 2,Apr 2019,Israel Adesanya,Kelvin Gastelum,-220.0,185.0
113,UFC 236: Holloway vs. Poirier 2,Apr 2019,Jalin Turner,Matt Frevola,-165.0,125.0
116,UFC 236: Holloway vs. Poirier 2,Apr 2019,Lauren Mueller,Poliana Botelho,125.0,-165.0
118,UFC 236: Holloway vs. Poirier 2,Apr 2019,Max Griffin,Zelim Imadaev,165.0,-215.0
121,UFC 236: Holloway vs. Poirier 2,Apr 2019,Nikita Krylov,Ovince St. Preux,115.0,-155.0
125,UFC,Apr 2024,Jalin Turner,Renato Moicano,-130.0,110.0
126,UFC,Apr 2024,Jessica Andrade,Marina Rodriguez,-175.0,145.0
127,UFC,Apr 2024,Jim Miller,Bobby Green,180.0,-218.0
130,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 2012,Alessio Sakara,Brian Stann,300.0,-390.0
131,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 2012,Alexander Gustafsson,Thiago Silva,-210.0,160.0
132,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 2012,Besam Yousef,Simeon Thoresen,230.0,-290.0
133,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 2012,Brad Pickett,Damacio Page,-220.0,180.0
135,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 2012,Cyrille Diabate,Tom Deblass,160.0,-195.0
137,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 2012,Dennis Siver,Diego Nunes,170.0,-230.0
138,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 2012,Eric Wisely,Jason Young,-180.0,150.0
139,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 2012,Francis Carmont,Magnus Cedenblad,-240.0,180.0
140,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 2012,James Head,Papy Abedi,210.0,-270.0
142,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 2012,John Maguire,Damarques Johnson,-140.0,120.0
145,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 2012,Paulo Thiago,Siyar Bahadurzada,-390.0,270.0
146,UFC on FUEL TV 2: Gustafsson vs. Silva,Apr 2012,Reza Madadi,Yoislandy Izquierdo,-225.0,175.0
151,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,Adam Wieczorek,Arjan Bhullar,110.0,-150.0
152,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,Alejandro Perez,Matthew Lopez,-150.0,110.0
153,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,Alex Oliveira,Carlos Condit,-160.0,120.0
154,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,Antonio Carlos Junior,Tim Boetsch,-260.0,220.0
156,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,Brad Tavares,Krzysztof Jotko,-190.0,165.0
158,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,Cortney Casey,Michelle Waterson,-120.0,-120.0
159,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,Dan Moret,Gilbert Burns,325.0,-475.0
160,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,Dhiego Lima,Yushin Okami,-120.0,-120.0
161,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,Dustin Poirier,Justin Gaethje,-130.0,-110.0
163,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,Israel Adesanya,Marvin Vettori,-260.0,180.0
164,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,John Moraga,Wilson Reis,145.0,-170.0
166,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,Lauren Mueller,Shana Dobson,-190.0,150.0
167,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,Luke Sanders,Patrick Williams,-310.0,230.0
170,UFC on FOX 29: Poirier vs. Gaethje,Apr 2018,Muslim Salikhov,Ricky Rainey,-260.0,180.0
177,UFC 300,Apr 2024,Aleksandar Rakic,Jiri Prochazka,-170.0,142.0
178,UFC 300,Apr 2024,Alex Pereira,Jamahal Hill,-163.0,130.0
179,UFC 300,Apr 2024,Aljamain Sterling,Calvin Kattar,-142.0,120.0
180,UFC 300,Apr 2024,Arman Tsarukyan,Charles Oliveira,100.0,-120.0
181,UFC 300,Apr 2024,Bo Nickal,Cody Brundage,-1100.0,700.0
185,UFC 300,Apr 2024,Diego Lopes,Sodiq Yusuff,-180.0,140.0
186,UFC 300,Apr 2024,Holly Holm,Kayla Harrison,250.0,-310.0
189,UFC 300,Apr 2024,Max Holloway,Justin Gaethje,225.0,-278.0
191,UFC 300,Apr 2024,Yan Xiaonan,Zhang Weili,260.0,-325.0
192,UFC on FOX 24: Johnson vs. Reis,Apr 2017,Alexander Volkov,Roy Nelson,-140.0,100.0
193,UFC on FOX 24: Johnson vs. Reis,Apr 2017,Aljamain Sterling,Augusto Mendes,-215.0,165.0
194,UFC on FOX 24: Johnson vs. Reis,Apr 2017,Andrew Sanchez,Anthony Smith,-210.0,160.0
196,UFC on FOX 24: Johnson vs. Reis,Apr 2017,Demetrious Johnson,Wilson Reis,-1050.0,550.0
197,UFC on FOX 24: Johnson vs. Reis,Apr 2017,Devin Clark,Jake Collier,-150.0,110.0
198,UFC on FOX 24: Johnson vs. Reis,Apr 2017,Jeremy Stephens,Renato Moicano,-165.0,125.0
199,UFC on FOX 24: Johnson vs. Reis,Apr 2017,Ketlen Vieira,Ashlee Evans-Smith,130.0,-170.0
200,UFC on FOX 24: Johnson vs. Reis,Apr 2017,Louis Smolka,Tim Elliott,170.0,-230.0
201,UFC on FOX 24: Johnson vs. Reis,Apr 2017,Nathan Coy,Zak Cummings,200.0,-280.0
202,UFC on FOX 24: Johnson vs. Reis,Apr 2017,Patrick Williams,Tom Duquesnoy,265.0,-385.0
203,UFC on FOX 24: Johnson vs. Reis,Apr 2017,Rashid Magomedov,Bobby Green,-260.0,180.0
205,UFC on FOX 24: Johnson vs. Reis,Apr 2017,Robert Whittaker,Ronaldo Souza,150.0,-190.0
206,UFC on FOX 24: Johnson vs. Reis,Apr 2017,Rose Namajunas,Michelle Waterson,-135.0,-105.0
212,UFC Fight Night: Holloway vs. Allen,Apr 2023,Aaron Phillips,Gaston Bolanos,140.0,-160.0
213,UFC Fight Night: Holloway vs. Allen,Apr 2023,Arnold Allen,Max Holloway,125.0,-145.0
214,UFC Fight Night: Holloway vs. Allen,Apr 2023,Azamat Murzakanov,Dustin Jacoby,170.0,-200.0
215,UFC Fight Night: Holloway vs. Allen,Apr 2023,Bill Algeo,Tj Brown,-139.0,119.0
216,UFC Fight Night: Holloway vs. Allen,Apr 2023,Billy Quarantillo,Edson Barboza,-155.0,135.0
217,UFC Fight Night: Holloway vs. Allen,Apr 2023,Brandon Royval,Matheus Nicolau,125.0,-145.0
218,UFC Fight Night: Holloway vs. Allen,Apr 2023,Bruna Brasil,Denise Gomes,-160.0,140.0
219,UFC Fight Night: Holloway vs. Allen,Apr 2023,Chris Gutierrez,Pedro Munhoz,-235.0,200.0
220,UFC Fight Night: Holloway vs. Allen,Apr 2023,Clay Guida,Rafa Garcia,140.0,-160.0
221,UFC Fight Night: Holloway vs. Allen,Apr 2023,Daniel Zellhuber,Lando Vannata,-175.0,150.0
224,UFC Fight Night: Holloway vs. Allen,Apr 2023,Ed Herman,Zak Cummings,210.0,-250.0
227,UFC Fight Night: Holloway vs. Allen,Apr 2023,Gillian Robertson,Piera Rodriguez,115.0,-135.0
228,UFC Fight Night: Holloway vs. Allen,Apr 2023,Jake Collier,Martin Buday,-185.0,160.0
229,UFC Fight Night: Holloway vs. Allen,Apr 2023,Joselyne Edwards,Lucie Pudilova,150.0,-175.0
238,UFC Fight Night: Holloway vs. Allen,Apr 2023,Tanner Boser,Ion Curelaba,-160.0,140.0
240,UFC: The Ultimate Fighter Nations Finale,Apr 2014,Akira Corassani,Dustin Poirier,335.0,-505.0
241,UFC: The Ultimate Fighter Nations Finale,Apr 2014,Chad Laprise,Olivier Aubin-Mercier,-150.0,110.0
242,UFC: The Ultimate Fighter Nations Finale,Apr 2014,Dustin Kimura,George Roop,-140.0,100.0
244,UFC: The Ultimate Fighter Nations Finale,Apr 2014,Elias Theodorou,Sheldon Westcott,-270.0,190.0
246,UFC: The Ultimate Fighter Nations Finale,Apr 2014,Kyle Noke,Patrick Cote,-110.0,-130.0
247,UFC: The Ultimate Fighter Nations Finale,Apr 2014,Leslie Smith,Sarah Kaufman,190.0,-270.0
248,UFC: The Ultimate Fighter Nations Finale,Apr 2014,Mark Bocek,Mike de La Torre,-405.0,285.0
249,UFC: The Ultimate Fighter Nations Finale,Apr 2014,Michael Bisping,Tim Kennedy,-165.0,125.0
250,UFC: The Ultimate Fighter Nations Finale,Apr 2014,Mitch Gagnon,Tim Gorman,-275.0,195.0
251,UFC: The Ultimate Fighter Nations Finale,Apr 2014,Nordine Taleb,Vik Grujic,-270.0,190.0
253,UFC: The Ultimate Fighter Nations Finale,Apr 2014,Ryan Jimmo,Sean O'Connell,-385.0,265.0
254,UFC: The Ultimate Fighter Nations Finale,Apr 2014,Sam Stout,K.J. Noons,-165.0,125.0
259,UFC on FOX 19: Evans vs. Teixeira,Apr 2016,Beneil Dariush,Michael Chiesa,-210.0,160.0
260,UFC on FOX 19: Evans vs. Teixeira,Apr 2016,Bethe Correia,Raquel Pennington,185.0,-265.0
261,UFC on FOX 19: Evans vs. Teixeira,Apr 2016,Cezar Ferreira,Oluwale Bamgbose,130.0,-170.0
262,UFC on FOX 19: Evans vs. Teixeira,Apr 2016,Court McGee,Santiago Ponzinibbio,-140.0,100.0
263,UFC on FOX 19: Evans vs. Teixeira,Apr 2016,Cub Swanson,Hacran Dias,-135.0,-105.0
264,UFC on FOX 19: Evans vs. Teixeira,Apr 2016,Darrell Horcher,Khabib Nurmagomedov,435.0,-705.0
265,UFC on FOX 19: Evans vs. Teixeira,Apr 2016,Glover Teixeira,Rashad Evans,-190.0,150.0
267,UFC on FOX 19: Evans vs. Teixeira,Apr 2016,John Dodson,Manny Gamburyan,-505.0,335.0
270,UFC on FOX 19: Evans vs. Teixeira,Apr 2016,Michael Graves,Randy Brown,-160.0,120.0
272,UFC on FOX 19: Evans vs. Teixeira,Apr 2016,Omari Akhmedov,Elizeu Zaleski,-210.0,160.0
276,UFC on FOX 19: Evans vs. Teixeira,Apr 2016,Rose Namajunas,Tecia Torres,-140.0,100.0
278,UFC Fight Night: UFC Fight Night 206,Apr 2022,Ange Loosa,Mounir Lazzez,210.0,-250.0
279,UFC Fight Night: UFC Fight Night 206,Apr 2022,Belal Muhammad,Vicente Luque,180.0,-210.0
280,UFC Fight Night: UFC Fight Night 206,Apr 2022,Brandon Jenkins,Drakkar Klose,220.0,-260.0
281,UFC Fight Night: UFC Fight Night 206,Apr 2022,Caio Borralho,Gadzhi Omargadzhiev,130.0,-150.0
282,UFC Fight Night: UFC Fight Night 206,Apr 2022,Chris Barnett,Martin Buday,120.0,-140.0
283,UFC Fight Night: UFC Fight Night 206,Apr 2022,Devin Clark,William Knight,-150.0,130.0
286,UFC Fight Night: UFC Fight Night 206,Apr 2022,Istela Nunes,Sam Hughes,-210.0,180.0
287,UFC Fight Night: UFC Fight Night 206,Apr 2022,Jesse Ronson,Rafa Garcia,140.0,-160.0
288,UFC Fight Night: UFC Fight Night 206,Apr 2022,Jordan Leavitt,Trey Ogden.,-155.0,135.0
289,UFC Fight Night: UFC Fight Night 206,Apr 2022,Jordan Leavitt,Victor Martinez,-145.0,120.0
290,UFC Fight Night: UFC Fight Night 206,Apr 2022,Kevin Croom,Heili Alateng,120.0,-140.0
292,UFC Fight Night: UFC Fight Night 206,Apr 2022,Mayra Bueno Silva,Yanan Wu,-110.0,-110.0
293,UFC Fight Night: UFC Fight Night 206,Apr 2022,Miguel Baeza,Andre Fialho,-140.0,120.0
295,UFC Fight Night: UFC Fight Night 206,Apr 2022,Mounir Lazzez,Elizeu Zaleski Dos Santos,190.0,-225.0
296,UFC Fight Night: UFC Fight Night 206,Apr 2022,Pannie Kianzad,Lina Akhtar Lansberg,-300.0,250.0
297,UFC Fight Night: UFC Fight Night 206,Apr 2022,Pat Sabatini,T.J. Laramie,-240.0,205.0
303,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 2021,Abdul Razak Alhassan,Jacob Malkoun,-350.0,285.0
304,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 2021,Andrei Arlovski,Chase Sherman,-130.0,110.0
305,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 2021,Anthony Birchak,Tony Gravely,175.0,-205.0
306,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 2021,Austin Hubbard,Dakota Bush,-175.0,145.0
307,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 2021,Bartosz Fabinski,Gerald Meerschaert,-150.0,130.0
310,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 2021,Jessica Penne,Lupita Godinez,155.0,-185.0
311,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 2021,Justine Kish,Tracy Cortez,200.0,-235.0
312,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 2021,Kelvin Gastelum,Robert Whittaker,220.0,-275.0
313,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 2021,Luis Pena,Alex Munoz,-175.0,150.0
318,UFC 97: Redemption,Apr 2009,Anderson Silva,Thales Leites,-450.0,330.0
319,UFC 97: Redemption,Apr 2009,Brian Stann,Krzysztof Soszynski,160.0,-195.0
320,UFC 97: Redemption,Apr 2009,Cheick Kongo,Antoni Hardonk,-315.0,245.0
321,UFC 97: Redemption,Apr 2009,Chuck Liddell,Mauricio Rua,-240.0,180.0
322,UFC 97: Redemption,Apr 2009,David Bielkheden,Mark Bocek,220.0,-280.0
323,UFC 97: Redemption,Apr 2009,Denis Kang,Xavier Foupa-Pokam,-325.0,250.0
324,UFC 97: Redemption,Apr 2009,Ed Herman,David Loiseau,105.0,-135.0
325,UFC 97: Redemption,Apr 2009,Eliot Marshall,Vinny Magalhaes,-120.0,-110.0
328,UFC 97: Redemption,Apr 2009,Matt Wiman,Sam Stout,135.0,-165.0
330,UFC 97: Redemption,Apr 2009,Nate Quarry,Jason Macdonald,-130.0,100.0
331,UFC 97: Redemption,Apr 2009,Ryo Chonan,T.J. Grant,-215.0,170.0
333,UFC 97: Redemption,Apr 2009,Steve Cantwell,Luis Cane,190.0,-250.0
336,UFC on FOX 15: Machida vs. Rockhold,Apr 2015,Aljamain Sterling,Takeya Mizugaki,-210.0,160.0
337,UFC on FOX 15: Machida vs. Rockhold,Apr 2015,Beneil Dariush,Jim Miller,-140.0,100.0
338,UFC on FOX 15: Machida vs. Rockhold,Apr 2015,Chris Camozzi,Ronaldo Souza,550.0,-1050.0
339,UFC on FOX 15: Machida vs. Rockhold,Apr 2015,Chris Dempsey,Eddie Gordon,260.0,-380.0
340,UFC on FOX 15: Machida vs. Rockhold,Apr 2015,Corey Anderson,Gian Villante,-230.0,170.0
341,UFC on FOX 15: Machida vs. Rockhold,Apr 2015,Cub Swanson,Max Holloway,-190.0,150.0
342,UFC on FOX 15: Machida vs. Rockhold,Apr 2015,Diego Brandao,Jimy Hettes,-170.0,130.0
344,UFC on FOX 15: Machida vs. Rockhold,Apr 2015,George Sullivan,Tim Means,115.0,-155.0
348,UFC on FOX 15: Machida vs. Rockhold,Apr 2015,Luke Rockhold,Lyoto Machida,-140.0,100.0
350,UFC on FOX 15: Machida vs. Rockhold,Apr 2015,Patrick Cummins,Ovince St. Preux,-140.0,100.0
353,UFC 83: Serra vs St-Pierre 2,Apr 2008,Alan Belcher,Jason Day,-410.0,315.0
354,UFC 83: Serra vs St-Pierre 2,Apr 2008,Brad Morris,Cain Velasquez,190.0,-250.0
355,UFC 83: Serra vs St-Pierre 2,Apr 2008,Demian Maia,Ed Herman,-195.0,160.0
357,UFC 83: Serra vs St-Pierre 2,Apr 2008,Joe Doerksen,Jason Macdonald,135.0,-165.0
358,UFC 83: Serra vs St-Pierre 2,Apr 2008,Jonathan Goulet,Kuniyoshi Hironaka,180.0,-240.0
359,UFC 83: Serra vs St-Pierre 2,Apr 2008,Kalib Starnes,Nate Quarry,400.0,-550.0
361,UFC 83: Serra vs St-Pierre 2,Apr 2008,Mark Bocek,Mac Danzig,470.0,-725.0
362,UFC 83: Serra vs St-Pierre 2,Apr 2008,Michael Bisping,Charles McCarthy,-330.0,253.0
364,UFC 83: Serra vs St-Pierre 2,Apr 2008,Rich Clementi,Sam Stout,130.0,-160.0
365,UFC on FOX 11: Werdum vs. Browne,Apr 2014,Brad Tavares,Yoel Romero,100.0,-140.0
366,UFC on FOX 11: Werdum vs. Browne,Apr 2014,Caio Magalhaes,Luke Zachrich,-280.0,200.0
367,UFC on FOX 11: Werdum vs. Browne,Apr 2014,Chas Skelly,Mirsad Bektic,-175.0,135.0
368,UFC on FOX 11: Werdum vs. Browne,Apr 2014,Derrick Lewis,Jack May,-315.0,235.0
369,UFC on FOX 11: Werdum vs. Browne,Apr 2014,Donald Cerrone,Edson Barboza,-140.0,100.0
370,UFC on FOX 11: Werdum vs. Browne,Apr 2014,Dustin Ortiz,Ray Borg,-215.0,165.0
372,UFC on FOX 11: Werdum vs. Browne,Apr 2014,Estevan Payan,Alex White,-165.0,125.0
373,UFC on FOX 11: Werdum vs. Browne,Apr 2014,Fabricio Werdum,Travis Browne,160.0,-210.0
374,UFC on FOX 11: Werdum vs. Browne,Apr 2014,Hernani Perpetuo,Jordan Mein,265.0,-385.0
377,UFC on FOX 11: Werdum vs. Browne,Apr 2014,Jorge Masvidal,Pat Healy,-190.0,150.0
378,UFC on FOX 11: Werdum vs. Browne,Apr 2014,Khabib Nurmagomedov,Rafael Dos Anjos,-175.0,135.0
379,UFC on FOX 11: Werdum vs. Browne,Apr 2014,Liz Carmouche,Miesha Tate,125.0,-165.0
386,UFC on FOX 11: Werdum vs. Browne,Apr 2014,Seth Baczynski,Thiago Alves,250.0,-350.0
389,UFC Fight Night 18: Condit vs Kampmann,Apr 2009,Aaron Simpson,Tim McKenzie,-175.0,145.0
390,UFC Fight Night 18: Condit vs Kampmann,Apr 2009,Brock Larson,Jesse Sanders,-505.0,365.0
391,UFC Fight Night 18: Condit vs Kampmann,Apr 2009,Carlos Condit,Martin Kampmann,-195.0,155.0
392,UFC Fight Night 18: Condit vs Kampmann,Apr 2009,Carmelo Marrero,Ryan Bader,325.0,-435.0
393,UFC Fight Night 18: Condit vs Kampmann,Apr 2009,Cole Miller,Junie Browning,-110.0,-120.0
394,UFC Fight Night 18: Condit vs Kampmann,Apr 2009,Gleison Tibau,Jeremy Stephens,-165.0,135.0
395,UFC Fight Night 18: Condit vs Kampmann,Apr 2009,Joe Vedepo,Rob Kimmons,210.0,-270.0
396,UFC Fight Night 18: Condit vs Kampmann,Apr 2009,Jorge Rivera,Nissen Osterneck,-140.0,110.0
399,UFC Fight Night 18: Condit vs Kampmann,Apr 2009,Matt Horwich,Ricardo Almeida,240.0,-300.0
400,UFC Fight Night 18: Condit vs Kampmann,Apr 2009,Nick Catone,Tim Credeur,100.0,-130.0
402,UFC Fight Night 18: Condit vs Kampmann,Apr 2009,Rafael Dos Anjos,Tyson Griffin,250.0,-325.0
409,UFC: The Ultimate Fighter 15 Episode 7,Apr 2012,John Cofer,Vinc Pichel,130.0,-160.0
410,UFC on FOX 7: Henderson vs. Melendez,Apr 2013,Anthony Njokuani,Roger Bowling,-210.0,160.0
411,UFC on FOX 7: Henderson vs. Melendez,Apr 2013,Benson Henderson,Gilbert Melendez,-280.0,200.0
412,UFC on FOX 7: Henderson vs. Melendez,Apr 2013,Chad Mendes,Darren Elkins,-445.0,315.0
413,UFC on FOX 7: Henderson vs. Melendez,Apr 2013,Clifford Starks,Yoel Romero,-125.0,-115.0
414,UFC on FOX 7: Henderson vs. Melendez,Apr 2013,Daniel Cormier,Frank Mir,-350.0,250.0
416,UFC on FOX 7: Henderson vs. Melendez,Apr 2013,Darren Uyenoyama,Joseph Benavidez,335.0,-505.0
417,UFC on FOX 7: Henderson vs. Melendez,Apr 2013,Francis Carmont,Lorenz Larkin,-125.0,-115.0
420,UFC on FOX 7: Henderson vs. Melendez,Apr 2013,Hugo Viana,T.J. Dillashaw,215.0,-295.0
421,UFC on FOX 7: Henderson vs. Melendez,Apr 2013,Jordan Mein,Matt Brown,-270.0,190.0
422,UFC on FOX 7: Henderson vs. Melendez,Apr 2013,Jorge Masvidal,Tim Means,-165.0,125.0
424,UFC on FOX 7: Henderson vs. Melendez,Apr 2013,Josh Thomson,Nate Diaz,120.0,-160.0
427,UFC on FOX 7: Henderson vs. Melendez,Apr 2013,Myles Jury,Ramsey Nijem,-230.0,170.0
431,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 2019,Aleksei Oleinik,Alistair Overeem,175.0,-245.0
432,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 2019,Alen Amedovski,Krzysztof Jotko,-110.0,-130.0
433,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 2019,Alexander Yakovlev,Alex da Silva,-130.0,-110.0
435,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 2019,Antonina Shevchenko,Roxanne Modafferi,-385.0,265.0
436,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 2019,Arman Tsarukyan,Islam Makhachev,325.0,-475.0
437,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 2019,Gadzhimurad Antigulov,Michal Oleksiejczuk,130.0,-170.0
439,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 2019,Keita Nakamura,Sultan Aliev,-110.0,-130.0
441,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 2019,Magomed Mustafaev,Rafael Fiziev,-180.0,140.0
442,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 2019,Marcelo Golm,Sergei Pavlovich,220.0,-300.0
443,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 2019,Marcin Tybura,Shamil Abdurakhimov,-185.0,145.0
445,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 2019,Movsar Evloev,Seung Woo Choi,-305.0,225.0
