,Winner,Ht Diff,Reach Diff,Career W Diff,Career L Diff,W Diff,L Diff,Num Fights Diff,W Perc Diff,Sig Strikes Avg Diff,Sig Str % Diff,Sig Strikes Opp Avg Diff,Sig Str % Opp Diff,Strikes Avg Diff,Str % Diff,Strikes Opp Avg Diff,Str % Opp Diff,TD Avg Diff,TD % Diff,TD Opp Avg Diff,TD % Opp Diff,KD Avg Diff,KD Opp Avg Diff,DEC Avg Diff,KO Avg Diff,SUB Avg Diff,DEC Opp Avg Diff,KO Opp Avg Diff,SUB Opp Avg Diff,CTRL Avg Diff,CTRL Opp Avg Diff,Time Avg Diff,Streak Diff,Age Diff,Career Fights Diff,Career W Perc Diff,Stance Diff
3022,0,2,-3,9,8,-1,0,-1,-100,-31.0,-36.90476190476191,-17.0,-22.07792207792208,-36.0,-20.809248554913296,-21.0,-13.291139240506327,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-58.0,-44.0,-592.0,-1,-4,17.0,-17.948717948717956,0
3023,1,0,6,-12,-6,-1,-1,-2,25,32.5,17.51048951048951,22.25,8.545150501672246,31.25,-0.9500928951246124,27.25,-4.170810280831983,0.25,8.333333333333329,-2.0,-72.72727272727273,0.25,0.0,0.25,0.25,-0.25,-0.25,0.0,0.0,58.5,-135.25,217.25,-1,-2,-18.0,10.714285714285708,1
3024,1,-1,-4,5,2,-1,1,0,-34,-18.333333333333336,5.866489212664618,-31.33333333333332,-1.829481792717086,-18.66666666666667,10.810810810810807,-47.0,-3.484757131552172,0.6666666666666667,12.5,-0.3333333333333333,-12.5,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,48.666666666666686,-89.66666666666669,-338.33333333333337,-1,2,7.0,-4.848484848484844,-1
3025,0,0,2,-9,-4,1,-1,0,25,2.25,-4.24866216964304,15.5,-4.361953658042289,6.75,1.0116017280895697,26.0,2.3349423515123604,-0.75,-30.158730158730158,0.0,-17.857142857142858,-0.75,0.0,0.5,0.0,-0.25,0.0,0.0,-0.25,-48.0,88.5,344.5,0,-6,-13.0,5.387931034482762,1
3026,0,-1,2,-6,-4,-1,0,-1,-7,16.357142857142854,-0.3482312492464743,36.02380952380952,-0.24833526430970565,15.238095238095227,-2.740183792815376,43.547619047619044,-1.324520707740799,0.23809523809523814,-9.803921568627448,0.30952380952380965,-3.0769230769230766,0.023809523809523808,-0.2857142857142857,-0.23809523809523808,0.1666666666666666,0.0,0.5,-0.2857142857142857,-0.1428571428571428,-78.26190476190476,69.85714285714286,184.80952380952374,-2,-5,-10.0,4.365079365079353,1
3027,0,2,1,-10,-6,-1,0,-1,-100,-22.0,-46.80851063829788,-51.0,-68.91891891891892,-56.0,-42.42424242424242,-82.0,-45.30386740331492,0.0,0.0,-3.0,-50.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-360.0,-284.0,-900.0,-1,-1,-16.0,7.957559681697617,0
3028,0,-4,-6,-10,-8,-4,0,-4,-100,-21.75,-26.769230769230766,-21.5,-25.59523809523809,-40.5,-38.66348448687351,-40.5,-38.11764705882353,-0.75,-17.647058823529413,-1.25,-33.33333333333333,0.0,-0.25,-0.5,0.0,-0.5,0.0,0.0,0.0,-199.0,-260.5,-650.25,-4,-5,-18.0,20.98214285714286,0
3029,1,4,5,12,7,0,-1,-1,17,-11.866666666666667,3.6893670692021985,-11.566666666666663,2.628369172099415,-18.5,4.623531807997832,-14.566666666666656,4.516248977467093,0.0,-2.8325123152709395,0.5,8.333333333333329,-0.1666666666666666,-0.4666666666666666,0.09999999999999998,-0.3333333333333333,0.4,-0.1666666666666666,0.0,0.0,45.43333333333334,98.66666666666669,-53.46666666666658,0,-2,19.0,-12.987012987012974,0
3030,0,0,-1,-7,-1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,-8.0,-4.615384615384613,0
3031,0,1,-3,4,0,0,0,0,0,34.0,7.23684210526315,20.0,15.311004784689,58.0,7.102984734563684,35.0,13.311036789297662,4.0,8.333333333333343,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,422.0,28.0,666.0,0,2,4.0,13.333333333333343,0
3032,0,-1,-3,2,-1,-1,-1,-2,34,-18.33333333333333,12.490241998438716,5.333333333333333,32.8484195402299,-57.33333333333333,-30.716101694915256,-4.0,-1.7568230102957898,-3.6666666666666665,-55.00000000000001,0.0,0.0,0.6666666666666667,0.0,-0.3333333333333333,0.6666666666666667,0.0,0.0,-0.3333333333333333,0.0,-295.6666666666667,-18.33333333333333,-308.6666666666667,-1,3,1.0,13.888888888888886,0
3033,0,1,2,-4,2,1,1,2,-25,24.5,12.969121801205068,-20.0,-19.65796210957501,71.0,33.5358499668335,-43.75,-10.147641184572997,4.0,53.333333333333336,-2.0,-57.14285714285714,0.5,0.0,0.0,0.25,-0.5,0.0,0.25,0.0,343.75,-282.5,-25.75,1,0,-2.0,-22.222222222222214,0
3034,1,4,1,-3,-3,-3,-2,-5,-60,-27.8,-18.65771812080537,-10.0,-12.78772378516624,-68.4,-43.73401534526854,-19.4,-22.93144208037825,-3.6,-56.25,-0.2,-100.0,-0.6,0.0,-0.4,-0.2,0.0,0.0,-0.4,0.0,-302.4,-68.2,-509.0,1,1,-6.0,30.0,0
3035,0,-1,-3,-1,-5,-3,-3,-6,43,-21.428571428571427,34.88516449410304,-1.7142857142857135,27.946606077818792,-52.57142857142857,-4.98082454458293,-8.571428571428573,0.22167487684728826,-3.2857142857142856,-58.97435897435898,-0.2857142857142857,-66.66666666666666,-0.4285714285714285,1.0,-0.4285714285714285,-0.1428571428571428,1.0,0.0,-0.2857142857142857,-0.1428571428571428,-259.1428571428572,-9.714285714285722,-395.4285714285714,0,-1,-6.0,50.00000000000003,1
3036,0,0,5,-1,5,5,4,9,55,27.11111111111111,18.988326848249027,11.333333333333334,14.93411420204978,60.22222222222222,39.73607038123167,18.22222222222222,21.866666666666667,2.6666666666666665,60.0,0.4444444444444444,50.0,0.6666666666666666,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.3333333333333333,0.1111111111111111,217.66666666666663,55.55555555555556,464.0,-1,-2,4.0,-35.71428571428571,-1
3037,1,1,2,-4,-2,-4,1,-3,-25,-35.92857142857143,-4.685527363333236,-45.285714285714285,-5.836692043588597,-34.5,12.333326402317738,-60.71428571428572,9.748324442620696,-1.2142857142857144,27.891156462585023,-0.2857142857142856,0.0,0.3571428571428572,-0.2857142857142857,-0.75,0.5,0.0,0.25,0.0,0.0,-126.14285714285717,-38.214285714285694,-733.8571428571429,-4,-4,-6.0,5.555555555555543,-1
